### CO2sensors_ESP01c6b1
Server time;Sensor time;CO2 concentration;Temperature;Humidity
YYYY-MM-DD HH:MM:SS;YYYY-MM-DDxHH:MM:SSx;ppm;degC;%
2020-12-03 16:18:18;2020-12-03T16:18:18Z;405;22.7;24.4
2020-12-03 16:23:49;2020-12-03T16:23:49Z;409;22.3;24.9
2020-12-03 16:29:20;2020-12-03T16:29:21Z;413;22.1;25.5
2020-12-03 16:34:52;2020-12-03T16:34:52Z;421;21.9;25.7
2020-12-03 16:44:50;2020-12-03T16:44:51Z;458;22.9;24.9
2020-12-03 16:50:23;2020-12-03T16:50:23Z;473;21.1;25.5
2020-12-03 16:55:55;2020-12-03T16:55:55Z;421;20.7;27.8
2020-12-03 17:01:26;2020-12-03T17:01:27Z;423;21.2;27.0
2020-12-03 17:06:57;2020-12-03T17:06:58Z;447;21.4;27.2
2020-12-03 17:12:28;2020-12-03T17:12:29Z;485;21.5;27.6
2020-12-03 17:18:01;2020-12-03T17:18:01Z;508;21.5;27.9
2020-12-03 17:23:32;2020-12-03T17:23:33Z;521;21.5;28.4
2020-12-03 17:29:03;2020-12-03T17:29:03Z;542;21.5;28.4
2020-12-03 17:34:34;2020-12-03T17:34:34Z;565;21.5;29.0
2020-12-03 17:40:05;2020-12-03T17:40:06Z;591;21.6;29.2
2020-12-03 17:45:36;2020-12-03T17:45:37Z;631;21.5;29.6
2020-12-03 17:51:07;2020-12-03T17:51:08Z;637;21.5;29.9
2020-12-03 17:56:38;2020-12-03T17:56:39Z;676;21.3;30.4
2020-12-03 18:02:09;2020-12-03T18:02:10Z;696;21.3;30.5
2020-12-03 18:07:39;2020-12-03T18:07:39Z;693;21.3;30.9
2020-12-03 18:13:11;2020-12-03T18:13:12Z;734;21.3;31.1
2020-12-03 18:18:42;2020-12-03T18:18:43Z;752;21.2;31.6
2020-12-03 18:24:13;2020-12-03T18:24:14Z;753;21.1;31.8
2020-12-03 18:29:44;2020-12-03T18:29:44Z;779;20.9;32.2
2020-12-03 18:35:15;2020-12-03T18:35:15Z;786;20.9;32.4
2020-12-03 18:40:46;2020-12-03T18:40:47Z;780;20.9;32.5
2020-12-03 18:46:17;2020-12-03T18:46:18Z;746;20.5;30.9
2020-12-03 18:51:48;2020-12-03T18:51:49Z;518;20.3;30.1
2020-12-03 18:57:19;2020-12-03T18:57:20Z;487;20.1;30.2
2020-12-03 19:02:50;2020-12-03T19:02:51Z;481;19.8;30.4
2020-12-03 19:08:22;2020-12-03T19:08:23Z;485;19.7;30.4
2020-12-03 19:13:53;2020-12-03T19:13:54Z;480;19.6;30.6
2020-12-03 19:19:24;2020-12-03T19:19:25Z;473;19.5;30.7
2020-12-03 19:24:55;2020-12-03T19:24:56Z;481;19.5;30.8
2020-12-03 19:30:26;2020-12-03T19:30:27Z;484;19.5;30.6
2020-12-03 19:35:57;2020-12-03T19:35:58Z;478;19.5;30.7
2020-12-03 19:41:29;2020-12-03T19:41:30Z;486;19.6;30.4
