### CO2sensors_ESP1a5c94
Server time;Sensor time;CO2 concentration;Temperature;Humidity
YYYY-MM-DD HH:MM:SS;YYYY-MM-DD HH:MM:SS+XX;ppm;degC;%
2021-06-16 13:43:10;2021-06-16 13:43:09+02;806;27.1;45.4
2021-06-16 13:43:22;2021-06-16 13:43:21+02;785;27.0;45.5
2021-06-16 13:43:33;2021-06-16 13:43:33+02;768;27.0;45.6
2021-06-16 13:43:44;2021-06-16 13:43:44+02;776;27.0;45.7
2021-06-16 13:43:56;2021-06-16 13:43:56+02;770;27.0;45.8
2021-06-16 13:44:07;2021-06-16 13:44:07+02;764;27.0;45.9
2021-06-16 13:44:18;2021-06-16 13:44:18+02;762;26.9;46.0
2021-06-16 13:44:30;2021-06-16 13:44:29+02;770;26.9;46.0
2021-06-16 13:44:41;2021-06-16 13:44:41+02;770;26.9;46.0
2021-06-16 13:44:52;2021-06-16 13:44:52+02;772;26.9;46.0
2021-06-16 13:45:04;2021-06-16 13:45:03+02;776;26.8;46.0
2021-06-16 13:45:15;2021-06-16 13:45:15+02;782;26.8;46.1
2021-06-16 13:50:55;2021-06-16 13:50:55+02;763;26.3;47.2
2021-06-16 13:56:02;2021-06-16 13:56:01+02;756;26.0;47.8
2021-06-16 14:01:08;2021-06-16 14:01:08+02;758;25.9;48.5
2021-06-16 14:06:14;2021-06-16 14:06:14+02;756;25.7;48.9
2021-06-16 14:11:21;2021-06-16 14:11:20+02;756;25.5;49.5
2021-06-16 14:16:27;2021-06-16 14:16:26+02;752;25.4;49.7
2021-06-16 14:21:33;2021-06-16 14:21:33+02;755;25.4;49.9
2021-06-16 14:26:39;2021-06-16 14:26:39+02;756;25.2;50.3
2021-06-16 14:31:46;2021-06-16 14:31:45+02;757;25.0;50.8
2021-06-16 14:36:52;2021-06-16 14:36:52+02;794;24.9;52.9
2021-06-16 14:41:59;2021-06-16 14:41:58+02;897;24.9;53.4
2021-06-16 14:51:41;2021-06-16 14:51:41+02;823;27.0;46.9
2021-06-16 14:56:47;2021-06-16 14:56:47+02;851;26.9;47.2
2021-06-16 15:01:53;2021-06-16 15:01:53+02;853;26.9;47.0
2021-06-16 15:07:00;2021-06-16 15:06:59+02;851;26.9;47.5
2021-06-16 15:12:06;2021-06-16 15:12:06+02;854;26.7;47.8
2021-06-16 15:17:12;2021-06-16 15:17:12+02;852;26.6;47.9
2021-06-16 15:22:19;2021-06-16 15:22:18+02;867;26.5;48.3
2021-06-16 15:27:25;2021-06-16 15:27:25+02;880;26.3;48.8
2021-06-16 15:32:32;2021-06-16 15:32:31+02;905;26.3;49.0
2021-06-16 15:37:38;2021-06-16 15:37:38+02;916;26.2;49.3
2021-06-16 15:42:44;2021-06-16 15:42:44+02;900;26.1;49.6
2021-06-16 15:47:50;2021-06-16 15:47:50+02;992;26.1;50.5
2021-06-16 15:52:57;2021-06-16 15:52:56+02;921;26.0;49.9
2021-06-16 15:58:03;2021-06-16 15:58:03+02;951;25.8;51.0
2021-06-16 16:03:09;2021-06-16 16:03:09+02;964;26.0;50.2
2021-06-16 16:08:15;2021-06-16 16:08:15+02;999;25.7;51.2
2021-06-16 16:13:22;2021-06-16 16:13:21+02;1057;25.8;50.8
2021-06-16 16:18:28;2021-06-16 16:18:27+02;1083;25.9;51.1
2021-06-16 16:23:35;2021-06-16 16:23:35+02;1126;25.8;51.8
2021-06-16 16:28:41;2021-06-16 16:28:41+02;1146;25.8;51.8
2021-06-16 16:33:47;2021-06-16 16:33:47+02;1164;25.8;51.6
2021-06-16 16:38:54;2021-06-16 16:38:53+02;1205;25.7;52.0
2021-06-16 16:44:00;2021-06-16 16:44:00+02;1205;25.7;52.0
2021-06-16 16:49:06;2021-06-16 16:49:06+02;1217;25.8;51.7
2021-06-16 16:54:13;2021-06-16 16:54:12+02;1223;25.8;51.9
2021-06-16 16:59:19;2021-06-16 16:59:18+02;1239;25.7;52.3
2021-06-16 17:04:25;2021-06-16 17:04:24+02;1261;25.7;52.4
2021-06-16 17:09:31;2021-06-16 17:09:31+02;1252;25.6;52.6
2021-06-16 17:14:37;2021-06-16 17:14:37+02;1240;25.5;52.7
2021-06-16 17:19:43;2021-06-16 17:19:43+02;1224;25.5;52.8
2021-06-16 17:24:50;2021-06-16 17:24:50+02;1055;25.4;51.6
2021-06-16 17:29:56;2021-06-16 17:29:56+02;949;25.5;50.8
2021-06-16 17:35:02;2021-06-16 17:35:02+02;957;25.5;50.1
2021-06-16 17:40:09;2021-06-16 17:40:08+02;861;25.4;49.4
2021-06-16 17:45:15;2021-06-16 17:45:15+02;715;25.3;49.6
2021-06-16 17:50:22;2021-06-16 17:50:22+02;735;25.4;49.5
2021-06-16 17:55:28;2021-06-16 17:55:28+02;719;25.3;50.1
2021-06-16 18:00:35;2021-06-16 18:00:35+02;795;25.5;50.0
2021-06-16 18:05:41;2021-06-16 18:05:41+02;801;25.2;50.2
2021-06-16 18:10:47;2021-06-16 18:10:47+02;852;25.3;51.0
2021-06-16 18:15:53;2021-06-16 18:15:54+02;967;25.5;50.8
2021-06-16 18:21:00;2021-06-16 18:21:00+02;1051;25.4;51.5
2021-06-16 18:26:06;2021-06-16 18:26:06+02;1071;25.5;51.7
2021-06-16 18:31:13;2021-06-16 18:31:12+02;1111;25.3;52.3
2021-06-16 18:36:19;2021-06-16 18:36:20+02;1142;25.2;52.6
2021-06-16 18:41:26;2021-06-16 18:41:27+02;1173;25.5;52.1
2021-06-16 18:46:32;2021-06-16 18:46:32+02;1240;25.3;53.5
2021-06-16 18:51:39;2021-06-16 18:51:39+02;1253;25.2;53.7
2021-06-18 15:42:27;2021-06-18 15:42:33+02;1458;28.5;51.2
2021-06-18 15:46:53;2021-06-18 15:47:00+02;1577;29.1;49.0
2021-06-18 15:49:39;2021-06-18 15:49:46+02;1784;29.2;49.0
2021-06-18 15:50:13;2021-06-18 15:50:20+02;1675;29.2;49.2
2021-06-18 15:50:47;2021-06-18 15:50:54+02;1606;29.1;49.4
2021-06-18 15:51:21;2021-06-18 15:51:28+02;1581;29.1;49.6
2021-06-18 15:51:55;2021-06-18 15:52:02+02;1598;29.0;49.8
2021-06-18 15:53:13;2021-06-18 15:53:20+02;1697;29.3;52.2
2021-06-18 15:54:23;2021-06-18 15:54:29+02;1629;29.4;48.8
2021-06-18 15:54:56;2021-06-18 15:55:03+02;1628;29.4;49.0
2021-06-18 15:55:31;2021-06-18 15:55:37+02;1625;29.2;49.0
2021-06-18 15:56:42;2021-06-18 15:56:49+02;1722;29.3;51.7
2021-06-18 15:58:18;2021-06-18 15:58:25+02;1636;29.7;48.6
2021-06-18 15:58:52;2021-06-18 15:58:59+02;1622;29.5;48.5
2021-06-18 15:59:26;2021-06-18 15:59:33+02;1627;29.4;48.9
2021-06-18 16:00:00;2021-06-18 16:00:07+02;1624;29.3;49.1
2021-06-18 16:00:34;2021-06-18 16:00:41+02;1616;29.2;49.3
2021-06-18 16:01:08;2021-06-18 16:01:15+02;1609;29.2;49.5
2021-06-18 16:01:42;2021-06-18 16:01:49+02;1605;29.0;49.7
2021-06-18 16:02:16;2021-06-18 16:02:23+02;1598;28.9;50.1
2021-06-18 16:02:50;2021-06-18 16:02:57+02;1595;28.9;50.3
2021-06-18 16:03:24;2021-06-18 16:03:31+02;1596;28.8;50.5
2021-06-18 16:03:58;2021-06-18 16:04:04+02;1591;28.7;50.8
2021-06-18 16:04:32;2021-06-18 16:04:38+02;1601;28.6;51.7
2021-06-18 16:05:06;2021-06-18 16:05:12+02;1605;28.5;51.3
2021-06-18 16:05:40;2021-06-18 16:05:46+02;1601;28.4;51.5
2021-06-18 16:06:14;2021-06-18 16:06:20+02;1602;28.3;51.8
2021-06-18 16:06:48;2021-06-18 16:06:54+02;1600;28.3;51.9
2021-06-18 16:07:22;2021-06-18 16:07:28+02;1601;28.4;51.9
2021-06-18 16:07:56;2021-06-18 16:08:02+02;1598;28.3;52.1
2021-06-18 16:08:30;2021-06-18 16:08:36+02;1597;28.2;52.1
2021-06-18 16:09:04;2021-06-18 16:09:10+02;1602;28.2;52.4
2021-06-18 16:11:36;2021-06-18 16:11:43+02;1636;29.5;48.6
2021-06-18 16:12:10;2021-06-18 16:12:17+02;1619;29.3;48.9
2021-06-18 16:12:44;2021-06-18 16:12:51+02;1632;29.2;49.2
2021-06-18 16:13:18;2021-06-18 16:13:25+02;1620;29.1;49.4
2021-06-18 16:13:52;2021-06-18 16:13:59+02;1615;29.1;49.6
2021-06-18 16:14:27;2021-06-18 16:14:34+02;1620;29.0;49.8
2021-06-18 16:15:00;2021-06-18 16:15:08+02;1619;28.9;50.1
2021-06-18 16:15:34;2021-06-18 16:15:42+02;1619;28.8;50.3
2021-06-18 16:16:08;2021-06-18 16:16:16+02;1619;28.7;50.6
2021-06-18 16:16:42;2021-06-18 16:16:50+02;1616;28.6;50.8
2021-06-18 16:17:17;2021-06-18 16:17:24+02;1617;28.6;51.1
2021-06-18 16:17:51;2021-06-18 16:17:58+02;1610;28.5;51.2
2021-06-18 16:18:25;2021-06-18 16:18:32+02;1615;28.5;51.3
2021-06-18 16:18:59;2021-06-18 16:19:06+02;1616;28.6;51.4
2021-06-18 16:19:33;2021-06-18 16:19:40+02;1614;28.6;51.3
2021-06-18 16:20:07;2021-06-18 16:20:13+02;1615;28.4;51.6
2021-06-18 16:20:41;2021-06-18 16:20:47+02;1614;28.3;51.8
2021-06-18 16:21:15;2021-06-18 16:21:21+02;1612;28.2;52.0
2021-06-18 16:21:49;2021-06-18 16:21:55+02;1613;28.1;52.3
2021-06-18 16:22:23;2021-06-18 16:22:29+02;1614;28.1;52.4
2021-06-18 16:22:57;2021-06-18 16:23:03+02;1611;28.1;52.6
2021-06-18 16:23:31;2021-06-18 16:23:37+02;1619;28.0;52.7
2021-06-18 16:24:05;2021-06-18 16:24:11+02;1624;28.0;52.9
2021-06-18 16:24:39;2021-06-18 16:24:45+02;1624;27.9;53.1
2021-06-18 16:25:13;2021-06-18 16:25:19+02;1621;27.9;53.0
2021-06-18 16:25:47;2021-06-18 16:25:53+02;1622;27.9;53.2
2021-06-18 16:26:21;2021-06-18 16:26:27+02;1624;27.9;53.2
2021-06-18 16:26:55;2021-06-18 16:27:01+02;1624;27.7;53.5
2021-06-18 16:27:29;2021-06-18 16:27:36+02;1626;27.8;53.5
2021-06-18 16:28:03;2021-06-18 16:28:10+02;1637;27.7;53.6
2021-06-18 16:28:37;2021-06-18 16:28:44+02;1637;27.6;53.9
2021-06-18 16:29:11;2021-06-18 16:29:18+02;1625;27.6;54.2
2021-06-18 16:29:45;2021-06-18 16:29:52+02;1658;27.5;54.6
2021-06-18 16:30:19;2021-06-18 16:30:26+02;1651;27.6;54.3
2021-06-18 16:31:11;2021-06-18 16:31:18+02;1541;29.5;48.8
2021-06-18 16:31:45;2021-06-18 16:31:52+02;1616;29.5;48.9
2021-06-18 16:32:19;2021-06-18 16:32:26+02;1635;29.4;49.0
2021-06-18 16:32:53;2021-06-18 16:33:01+02;1653;29.3;49.3
