### CO2sensors_ESP3d035f
Server time;Sensor time;CO2 concentration;Temperature;Humidity
YYYY-MM-DD HH:MM:SS;YYYY-MM-DDxHH:MM:SSx;ppm;degC;%
2020-12-07 19:19:11;2020-12-07T19:19:26Z;460;26.7;26.7
2020-12-07 19:25:11;2020-12-07T19:25:26Z;3756;25.6;40.0
2020-12-07 19:30:11;2020-12-07T19:30:26Z;548;26.2;27.7
2020-12-07 19:36:12;2020-12-07T19:36:27Z;520;25.8;26.0
2020-12-07 19:42:12;2020-12-07T19:42:27Z;518;25.7;27.2
2020-12-07 19:48:12;2020-12-07T19:48:27Z;528;25.3;28.1
2020-12-07 19:53:12;2020-12-07T19:53:27Z;529;24.9;28.5
2020-12-07 19:59:13;2020-12-07T19:59:28Z;528;24.5;28.9
2020-12-07 20:12:45;2020-12-07T20:13:00Z;603;24.8;28.3
2020-12-07 20:17:46;2020-12-07T20:18:01Z;461;24.8;26.8
2020-12-07 20:22:47;2020-12-07T20:23:01Z;428;24.5;26.3
2020-12-07 20:28:47;2020-12-07T20:29:02Z;396;24.0;26.5
2020-12-07 20:34:47;2020-12-07T20:35:02Z;363;23.6;26.4
2020-12-07 20:40:47;2020-12-07T20:41:02Z;330;23.2;26.4
2020-12-07 20:46:47;2020-12-07T20:47:03Z;282;22.9;27.5
2020-12-07 20:52:47;2020-12-07T20:53:02Z;289;22.6;27.3
2020-12-07 20:58:47;2020-12-07T20:59:02Z;272;22.3;27.2
2020-12-07 21:03:47;2020-12-07T21:04:02Z;256;22.2;27.2
2020-12-07 21:09:47;2020-12-07T21:10:02Z;244;21.9;27.5
2020-12-07 21:15:48;2020-12-07T21:16:03Z;238;21.7;27.5
2020-12-07 21:21:48;2020-12-07T21:22:03Z;230;21.5;27.7
2020-12-07 21:26:48;2020-12-07T21:27:03Z;218;21.3;27.6
2020-12-07 21:32:48;2020-12-07T21:33:03Z;213;21.1;27.8
2020-12-07 21:38:49;2020-12-07T21:39:04Z;204;20.9;27.8
2020-12-07 21:43:49;2020-12-07T21:44:05Z;196;20.8;27.8
2020-12-07 21:49:50;2020-12-07T21:50:05Z;193;20.7;28.1
2020-12-07 21:55:50;2020-12-07T21:56:05Z;189;20.6;28.3
2020-12-07 22:00:50;2020-12-07T22:01:05Z;183;20.4;28.3
2020-12-07 22:06:51;2020-12-07T22:07:06Z;181;20.3;28.5
2020-12-07 22:11:51;2020-12-07T22:12:06Z;175;20.2;28.5
2020-12-07 22:17:52;2020-12-07T22:18:07Z;173;20.1;28.6
2020-12-07 22:23:52;2020-12-07T22:24:07Z;178;20.0;28.6
2020-12-07 22:29:52;2020-12-07T22:30:08Z;179;19.9;28.7
2020-12-07 22:35:52;2020-12-07T22:36:08Z;181;19.8;28.7
2020-12-07 22:41:52;2020-12-07T22:42:08Z;180;19.7;28.9
2020-12-07 22:47:52;2020-12-07T22:48:08Z;177;19.7;28.7
2020-12-07 22:53:53;2020-12-07T22:54:08Z;180;19.6;28.9
2020-12-07 22:59:53;2020-12-07T23:00:08Z;177;19.6;28.9
2020-12-07 23:05:53;2020-12-07T23:06:08Z;367;19.8;33.6
2020-12-07 23:15:32;2020-12-07T23:15:47Z;626;22.8;29.6
2020-12-07 23:21:33;2020-12-07T23:21:49Z;610;22.7;29.3
2020-12-07 23:27:34;2020-12-07T23:27:49Z;624;22.5;29.3
2020-12-07 23:32:35;2020-12-07T23:32:50Z;628;22.3;29.3
2020-12-07 23:37:36;2020-12-07T23:37:51Z;634;22.1;29.3
2020-12-07 23:42:37;2020-12-07T23:42:52Z;627;22.0;29.6
2020-12-07 23:47:38;2020-12-07T23:47:53Z;629;21.8;29.9
2020-12-07 23:52:39;2020-12-07T23:52:54Z;632;21.7;30.0
2020-12-07 23:57:40;2020-12-07T23:57:55Z;628;21.6;30.3
2020-12-08 00:02:41;2020-12-08T00:02:56Z;627;21.4;30.5
2020-12-08 00:07:42;2020-12-08T00:07:57Z;616;21.4;30.5
2020-12-08 00:12:43;2020-12-08T00:12:59Z;608;21.3;30.8
2020-12-08 00:17:44;2020-12-08T00:18:00Z;610;21.1;31.0
2020-12-08 00:22:45;2020-12-08T00:23:01Z;630;21.1;31.6
2020-12-08 00:27:46;2020-12-08T00:28:01Z;645;21.0;31.6
2020-12-08 00:32:47;2020-12-08T00:33:03Z;651;20.9;31.8
2020-12-08 00:37:48;2020-12-08T00:38:03Z;649;20.9;31.7
2020-12-08 00:42:49;2020-12-08T00:43:04Z;637;20.8;31.8
2020-12-08 00:47:50;2020-12-08T00:48:05Z;642;20.7;32.0
2020-12-08 00:52:51;2020-12-08T00:53:06Z;642;20.6;32.2
2020-12-08 00:57:52;2020-12-08T00:58:07Z;633;20.6;32.3
2020-12-08 01:02:53;2020-12-08T01:03:08Z;625;20.5;32.5
2020-12-08 01:07:54;2020-12-08T01:08:10Z;609;20.5;32.3
2020-12-08 01:12:55;2020-12-08T01:13:11Z;599;20.4;32.5
2020-12-08 01:17:56;2020-12-08T01:18:11Z;594;20.4;32.6
2020-12-08 01:23:57;2020-12-08T01:24:12Z;580;20.3;32.7
2020-12-08 01:29:58;2020-12-08T01:30:13Z;579;20.3;32.8
2020-12-08 01:35:59;2020-12-08T01:36:14Z;576;20.2;32.7
2020-12-08 01:42:00;2020-12-08T01:42:15Z;565;20.2;32.8
2020-12-08 01:47:01;2020-12-08T01:47:16Z;560;20.1;32.8
2020-12-08 01:52:02;2020-12-08T01:52:18Z;561;20.1;32.8
2020-12-08 01:57:03;2020-12-08T01:57:19Z;559;20.1;32.6
2020-12-08 02:02:04;2020-12-08T02:02:20Z;548;20.0;32.7
2020-12-08 02:07:05;2020-12-08T02:07:21Z;545;20.0;32.7
2020-12-08 02:12:06;2020-12-08T02:12:23Z;536;19.9;32.6
2020-12-08 02:18:07;2020-12-08T02:18:23Z;539;19.9;32.8
2020-12-08 02:23:07;2020-12-08T02:23:24Z;531;19.8;33.1
2020-12-08 02:29:08;2020-12-08T02:29:24Z;535;19.8;33.5
2020-12-08 02:34:09;2020-12-08T02:34:25Z;589;19.8;34.0
2020-12-08 02:40:09;2020-12-08T02:40:25Z;615;19.8;34.1
2020-12-08 02:46:10;2020-12-08T02:46:26Z;617;19.8;34.0
2020-12-08 02:51:10;2020-12-08T02:51:26Z;609;19.7;33.9
2020-12-08 02:57:11;2020-12-08T02:57:27Z;603;19.7;33.9
2020-12-08 03:02:12;2020-12-08T03:02:27Z;596;19.7;34.0
2020-12-08 03:08:12;2020-12-08T03:08:29Z;586;19.7;34.3
2020-12-08 03:13:13;2020-12-08T03:13:29Z;583;19.6;34.3
2020-12-08 03:19:13;2020-12-08T03:19:29Z;581;19.6;34.0
2020-12-08 03:24:14;2020-12-08T03:24:30Z;577;19.6;34.0
2020-12-08 03:29:14;2020-12-08T03:29:30Z;575;19.6;34.0
2020-12-08 03:35:15;2020-12-08T03:35:31Z;573;19.5;33.9
2020-12-08 03:40:15;2020-12-08T03:40:31Z;567;19.5;33.9
