### CO2sensors_ESP3d03da
# Server time;Sensor time;CO2 concentration;Temperature;Humidity
# YYYY-MM-DD HH:MM:SS;YYYY-MM-DDxHH:MM:SSx;ppm;degC;%
2020-11-22 22:09:32;2020-11-22T22:09:35Z;795;19.8;33.1
2020-11-22 22:14:32;2020-11-22T22:14:36Z;592;18.0;33.4
2020-11-22 22:19:33;2020-11-22T22:19:36Z;549;17.4;34.1
2020-11-22 22:25:33;2020-11-22T22:25:35Z;538;17.2;34.4
2020-11-22 22:30:33;2020-11-22T22:30:36Z;502;16.8;35.0
2020-11-22 22:35:33;2020-11-22T22:35:36Z;651;18.7;38.1
2020-11-22 22:40:33;2020-11-22T22:40:36Z;746;19.4;37.9
2020-11-22 22:45:33;2020-11-22T22:45:36Z;851;20.0;38.7
2020-11-22 22:50:33;2020-11-22T22:50:36Z;880;20.3;38.0
2020-11-22 22:55:33;2020-11-22T22:55:37Z;579;19.2;32.5
2020-11-22 23:00:33;2020-11-22T23:00:37Z;789;20.0;36.5
2020-11-22 23:05:33;2020-11-22T23:05:37Z;874;20.3;36.6
2020-11-22 23:10:33;2020-11-22T23:10:37Z;944;20.5;36.7
2020-11-22 23:15:33;2020-11-22T23:15:37Z;998;20.7;36.9
2020-11-22 23:20:33;2020-11-22T23:20:37Z;1042;20.8;37.0
2020-11-22 23:25:33;2020-11-22T23:25:37Z;1085;20.9;37.2
2020-11-22 23:30:33;2020-11-22T23:30:37Z;1125;21.0;37.3
2020-11-22 23:35:33;2020-11-22T23:35:37Z;1162;21.1;37.4
2020-11-22 23:40:33;2020-11-22T23:40:37Z;1205;21.2;37.6
2020-11-22 23:45:33;2020-11-22T23:45:37Z;1239;21.2;37.8
2020-11-22 23:50:34;2020-11-22T23:50:37Z;1258;21.2;38.0
2020-11-22 23:55:34;2020-11-22T23:55:37Z;1298;21.3;38.1
2020-11-23 00:00:34;2020-11-23T00:00:37Z;1326;21.3;38.3
2020-11-23 00:05:34;2020-11-23T00:05:37Z;1348;21.4;38.4
2020-11-23 00:10:34;2020-11-23T00:10:37Z;1393;21.4;38.7
